A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,far_from,near_to
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.6111111111111112,0.25,0.2222222222222222,0.7777777777777778,0.3888888888888889,0.2777777777777778,0.5555555555555556,0.7777777777777778,0.47058823529411764,0.47058823529411764,0.7647058823529411,0.7222222222222222,0.5294117647058824,0.5555555555555556,0.5882352941176471,0.375,0.35294117647058826,0.6666666666666666,0.0,0.0
0.0,0.6111111111111112,1.0,0.13333333333333333,0.26666666666666666,0.7058823529411765,0.5714285714285714,0.42857142857142855,0.47058823529411764,0.7058823529411765,0.5714285714285714,0.4666666666666667,0.5882352941176471,0.47368421052631576,0.6428571428571429,0.47058823529411764,0.4117647058823529,0.35714285714285715,0.3333333333333333,0.6875,0.0,0.0
0.0,0.25,0.13333333333333333,1.0,0.42857142857142855,0.17647058823529413,0.0,0.0,0.23076923076923078,0.17647058823529413,0.18181818181818182,0.18181818181818182,0.2857142857142857,0.1875,0.16666666666666666,0.23076923076923078,0.15384615384615385,0.0,0.2222222222222222,0.2,0.0,0.0
0.0,0.2222222222222222,0.26666666666666666,0.42857142857142855,1.0,0.29411764705882354,0.15384615384615385,0.08333333333333333,0.38461538461538464,0.29411764705882354,0.36363636363636365,0.36363636363636365,0.25,0.3125,0.3333333333333333,0.38461538461538464,0.3076923076923077,0.0,0.3,0.3333333333333333,0.0,0.0
0.0,0.7777777777777778,0.7058823529411765,0.17647058823529413,0.29411764705882354,1.0,0.47058823529411764,0.35294117647058826,0.47368421052631576,0.8823529411764706,0.47058823529411764,0.47058823529411764,0.6666666666666666,0.631578947368421,0.5294117647058824,0.47368421052631576,0.5882352941176471,0.29411764705882354,0.35294117647058826,0.7647058823529411,0.0,0.0
0.0,0.3888888888888889,0.5714285714285714,0.0,0.15384615384615385,0.47058823529411764,1.0,0.45454545454545453,0.3125,0.47058823529411764,0.6363636363636364,0.38461538461538464,0.35294117647058826,0.4117647058823529,0.46153846153846156,0.5,0.5384615384615384,0.5,0.23076923076923078,0.4375,0.0,0.0
0.0,0.2777777777777778,0.42857142857142855,0.0,0.08333333333333333,0.35294117647058826,0.45454545454545453,1.0,0.26666666666666666,0.35294117647058826,0.3333333333333333,0.3333333333333333,0.4,0.29411764705882354,0.4166666666666667,0.26666666666666666,0.2857142857142857,0.4444444444444444,0.4,0.5,0.0,0.0
0.0,0.5555555555555556,0.47058823529411764,0.23076923076923078,0.38461538461538464,0.47368421052631576,0.3125,0.26666666666666666,1.0,0.47368421052631576,0.5,0.6153846153846154,0.5294117647058824,0.6875,0.4666666666666667,0.5,0.5333333333333333,0.2,0.46153846153846156,0.4444444444444444,0.0,0.0
0.0,0.7777777777777778,0.7058823529411765,0.17647058823529413,0.29411764705882354,0.8823529411764706,0.47058823529411764,0.35294117647058826,0.47368421052631576,1.0,0.47058823529411764,0.47058823529411764,0.6666666666666666,0.631578947368421,0.5294117647058824,0.47368421052631576,0.5882352941176471,0.29411764705882354,0.35294117647058826,0.7647058823529411,0.0,0.0
